Image,X_Ratio,Y_Ratio
05-15_00073_P0030852_weed7.png,0.5,0.5
05-15_00074_P0030950_weed2.png,0.5,0.5
05-15_00093_P0030852_weed10.png,0.5,0.5
05-15_00093_P0030950_weed1.png,0.5,0.5
05-15_00094_P0030950_weed1.png,0.5,0.5
05-15_00098_P0030852_weed0.png,0.5,0.5
05-15_00114_P0030852_weed0.png,0.5,0.5
05-15_00124_P0030852_weed0.png,0.5,0.5
05-15_00125_P0030852_weed0.png,0.5,0.5
05-15_00132_P0030690_weed7.png,0.5,0.5
05-15_00153_P0030690_weed8.png,0.5,0.5
05-15_00205_P0030853_weed0.png,0.5,0.5
05-15_00206_P0030853_weed0.png,0.5,0.5
05-15_00213_P0030792_weed0.png,0.5,0.5
05-15_00222_P0030947_weed4.png,0.5,0.5
05-15_00239_P0030688_weed13.png,0.5,0.5
05-15_00242_P0030688_weed3.png,0.5,0.5
05-15_00246_P0030688_weed3.png,0.5,0.5
05-15_00260_P0030688_weed3.png,0.5,0.5
05-15_00262_P0030690_weed6.png,0.5,0.5
05-26_00102_P0034280_weed2.png,0.5,0.5
05-26_00140_P0034280_weed5.png,0.5,0.5
05-26_00166_P0034016_weed7.png,0.5,0.5
05-26_00178_P0034016_weed2.png,0.5,0.5
05-26_00178_P0034121_weed7.png,0.5,0.5
05-26_00221_P0034121_weed8.png,0.5,0.5
05-26_00241_P0034016_weed5.png,0.5,0.5
06-05_00024_P0037822_weed5.png,0.5,0.5
06-05_00028_P0037822_weed8.png,0.5,0.5
06-05_00048_P0037822_weed9.png,0.5,0.5
06-05_00049_P0037822_weed0.png,0.5,0.5
06-05_00060_P0037991_weed4.png,0.5,0.5
06-05_00096_P0037991_weed0.png,0.5,0.5
06-05_00111_P0037822_weed1.png,0.5,0.5
06-05_00115_P0038051_weed5.png,0.5,0.5
06-05_00216_P0038051_weed2.png,0.5,0.5
06-05_00218_P0038051_weed12.png,0.5,0.5
06-05_00223_P0038051_weed2.png,0.5,0.5
