Image,X_Ratio,Y_Ratio
05-15_00213_P0030792_weed0.png,0.5532279500604108,0.44677356020942405
05-26_00166_P0034016_weed7.png,0.5862117743607465,0.4554436494708457
05-26_00178_P0034016_weed2.png,0.5631031220435194,0.5135268038151873
05-26_00178_P0034121_weed7.png,0.37898793538272785,0.4698674291979716
05-26_00178_P0034121_weed9.png,0.640857886884522,0.5387738585804878
05-26_00221_P0034121_weed8.png,0.597326943756721,0.5669330032260484
05-26_00241_P0034016_weed5.png,0.5339508500137099,0.4891716189280969
06-05_00024_P0037822_weed5.png,0.4714109408447305,0.3754620384346939
06-05_00028_P0037822_weed8.png,0.5672938420045504,0.4219071677768509
06-05_00048_P0037822_weed9.png,0.5022671218987707,0.6001562109472631
06-05_00049_P0037822_weed0.png,0.5415017667844523,0.4765535083291267
06-05_00060_P0037991_weed4.png,0.5676684347983271,0.4215584952459694
06-05_00096_P0037991_weed0.png,0.5027063907328411,0.630794798625073
06-05_00111_P0037822_weed1.png,0.4649212460237254,0.4929032388822418
06-05_00115_P0038051_weed5.png,0.4418779045204901,0.49901742392236687
06-05_00216_P0038051_weed2.png,0.43516072545340834,0.37593414634146344
06-05_00218_P0038051_weed12.png,0.5763174293958389,0.5099893607179203
06-05_00223_P0038051_weed2.png,0.47114717910257686,0.5756921274748721
