Image,X_Ratio,Y_Ratio
05-15_00213_P0030792_weed0.png,0.5,0.5
05-26_00166_P0034016_weed7.png,0.5,0.5
05-26_00178_P0034016_weed2.png,0.5,0.5
05-26_00178_P0034121_weed7.png,0.5,0.5
05-26_00178_P0034121_weed9.png,0.5,0.5
05-26_00221_P0034121_weed8.png,0.5,0.5
05-26_00241_P0034016_weed5.png,0.5,0.5
06-05_00024_P0037822_weed5.png,0.5,0.5
06-05_00028_P0037822_weed8.png,0.5,0.5
06-05_00048_P0037822_weed9.png,0.5,0.5
06-05_00049_P0037822_weed0.png,0.5,0.5
06-05_00060_P0037991_weed4.png,0.5,0.5
06-05_00096_P0037991_weed0.png,0.5,0.5
06-05_00111_P0037822_weed1.png,0.5,0.5
06-05_00115_P0038051_weed5.png,0.5,0.5
06-05_00216_P0038051_weed2.png,0.5,0.5
06-05_00218_P0038051_weed12.png,0.5,0.5
06-05_00223_P0038051_weed2.png,0.5,0.5
